gene_id	fpkm_TP53_1	fpkm_TP53_2	fpkm_TP53_3	fpkm_TertTP53_1	fpkm_TertTP53_2	fpkm_TertTP53_3	fpkm_Tert_1	fpkm_Tert_2	fpkm_Tert_3	fpkm_WT_1	fpkm_WT_2	fpkm_WT_3
ENSDARG00000012194	11.64	12.84	7.43	9.35	11.19	8.58	10.27	10.23	8.78	9.87	7.46	8.51
ENSDARG00000012196	1.17	0.09	2.07	1.69	1.63	1.4	1.49	1.87	1.8	1.46	1.71	1.58
ENSDARG00000012199	3.26	1.23	4.12	4.72	3.99	1.61	5.31	10.83	4.84	7.86	4.35	3.73
ENSDARG00000012204	11.28	1.76	7.74	30.23	21.06	4.3	12.41	28.63	16.87	30.7	14.46	22.23
ENSDARG00000012215	1.6	4.12	1.6	2.38	1.84	3.12	1.93	3.37	4.94	1.65	2.9	1.11
ENSDARG00000012219	8.36	5.06	7.74	4.83	6.01	9.98	8.06	13.41	7.65	4.51	6.39	6.08
ENSDARG00000012222	6.31	5.94	7.49	7.54	6.44	5.5	9.17	10.38	10.06	8.56	9.78	8.33
ENSDARG00000012234	28.65	50.35	33.22	30.33	28.25	27.38	33.27	32.63	25.5	26.91	29.95	28.22
ENSDARG00000012244	274.58	341.52	220.38	227.98	248.89	220.57	152.55	183.49	179.91	231.72	202.52	192.06
ENSDARG00000012247	1.8	0.82	1.25	1.33	1.6	0.36	0.97	2.91	1.07	0.94	1.1	1.85
ENSDARG00000012248	31.05	23.33	51.58	59.3	50.16	28.21	23.61	46.08	37.34	59.92	43.59	47.67
ENSDARG00000012261	12.72	17.53	16.88	18.39	17.36	15.73	16.9	19.18	20.33	16.78	17.2	19.43
ENSDARG00000012269	0	0	0	0	0.12	0	0	0.05	0.07	0	0	0
ENSDARG00000012271	0.92	1.84	0.62	2.35	2.49	0.93	2.46	3.53	1.76	2.97	1.75	1.7
ENSDARG00000012274	20.99	30.52	15.49	26.42	22.63	18.91	23.6	28.95	36.88	24.34	21.72	28.42
ENSDARG00000012275	0.65	0.88	0.59	0.89	0.67	0.4	0.13	0.43	0.55	0.61	0.08	0.66
ENSDARG00000012281	63.34	62.6	43.56	74.53	58.74	31.65	67.51	32.2	44.13	50.96	51.25	26.49
ENSDARG00000012295	7.55	8.39	5.01	6.98	6.25	9.22	7.62	7.39	6.87	6.72	8.96	7.02
ENSDARG00000012297	0	0	0.03	0	0	0.1	0.05	0	0	0	0.24	0
ENSDARG00000012306	26.22	9.81	31.03	27.27	27.25	13.32	26.99	19.58	16.69	32.83	27.91	34.88
ENSDARG00000012311	0.35	1.94	0	0.29	0.08	0	0.08	0.31	3.01	0.15	0	0
ENSDARG00000012314	17.69	12.9	16.95	13.84	15.12	19.63	20.57	13.48	15.33	15.01	16.34	15.2
ENSDARG00000012325	2.63	4.79	3.37	5.03	4.2	4.6	2.58	5.05	4.64	4.73	4.23	5.86
ENSDARG00000012340	18.47	2.86	15.16	11.64	14.39	16.9	17.28	14.78	10.82	9.26	10.79	18.03
ENSDARG00000012341	0.25	0.36	0.12	0.22	0	0.83	10.95	2.32	18.83	0	0.31	0.08
ENSDARG00000012347	54.76	57.27	61.25	64.97	70.78	49.89	58.99	58.53	40.54	61.58	55.83	56.32
ENSDARG00000012353	3.49	0.93	1.71	1.58	3.69	0.67	0.97	5.93	1.5	2.36	1.94	3.54
ENSDARG00000012355	0.02	0	0	0.08	0.02	0	0.05	0.02	0	0	0	0
ENSDARG00000012366	0.28	0	0	0.14	0	0	0	0	0.91	0.06	0	0.12
ENSDARG00000012367	13.65	3.88	12.92	13.52	15.87	9.27	10.45	10.7	8.38	11.43	10.94	12.79
ENSDARG00000012368	7.37	4.28	7.44	8.81	7.27	7.29	6.46	7.02	6.47	7.59	7.27	6.46
ENSDARG00000012369	3.85	2.35	4.14	2.84	2.39	3.74	4.49	4	3.7	2.61	4.35	4.78
ENSDARG00000012378	28.84	45.73	25.63	29.79	30.32	30.33	26.37	30.37	22.65	35.18	31.79	33.17
