gene_id	tpm_WT_1	tpm_WT_2	tpm_WT_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000001930	11.95	18.78	13.5	12.39	16.33	13.82
ENSDARG00000001933	0.92	1.1	0.92	1.44	2.36	0.56
ENSDARG00000001937	0	0	0	0	0	0
ENSDARG00000001939	31.84	46.14	30.43	33.88	34.22	28.51
ENSDARG00000001940	47.11	56.16	49.2	60.93	68.35	69.58
ENSDARG00000001950	544.12	411.4	355.94	575.78	311.77	500.93
ENSDARG00000001953	55.96	60.1	55.5	45.97	29.72	29.86
ENSDARG00000001968	0.78	1.25	1.07	0.69	0.97	0
ENSDARG00000001969	5.28	5.29	8.26	7.13	10.44	6.33
ENSDARG00000001971	3.16	2.27	3	4.4	28.65	2.98
ENSDARG00000001975	8.21	18.77	27.3	13.9	7.06	10.55
ENSDARG00000001976	0.41	6.99	0.59	0.73	0.31	1.04
ENSDARG00000001993	0.02	0.1	0.26	3.89	0.16	0.65
ENSDARG00000001994	1368.47	1393.62	1063.11	1025.4	1348.24	911.31
ENSDARG00000001999	2.47	2.58	1.44	3.65	1.28	1.6
ENSDARG00000002002	14.54	7.51	13.38	7.26	10.43	5.67
ENSDARG00000002006	46.08	43.28	42.18	38.2	46.51	39.61
ENSDARG00000002013	4.12	5.83	4.33	5	3.92	2.25
ENSDARG00000002016	24.21	20.11	19.57	21.82	18.58	22.22
ENSDARG00000002020	18.99	19.84	15.99	15.21	18.73	18.62
ENSDARG00000002021	18.57	21.58	25.76	20.02	22.71	8.34
ENSDARG00000002026	24.08	31.42	26.11	14.67	20.73	8
ENSDARG00000002037	31.78	47.25	49.85	52.97	49.88	75.7
ENSDARG00000002060	8.33	7.36	8.45	4.34	6.77	5.71
ENSDARG00000002071	15.89	16.71	24.28	20.41	23.92	8.85
ENSDARG00000002077	18.64	21.18	18.89	19.98	18.77	17.65
ENSDARG00000002082	238.75	200.24	187.35	224.01	210.02	217.17
ENSDARG00000002084	2.22	1.73	1.53	1.81	2.33	0.84
ENSDARG00000002127	72.41	85.45	67.04	81.01	92.69	82.86
ENSDARG00000002128	14.18	12.22	12.21	13.29	17.06	19.96
ENSDARG00000002131	100.18	96.28	141.23	133.17	150.16	86.57
ENSDARG00000002165	28.56	26.38	33.8	27.73	42.17	36
ENSDARG00000002167	68.62	36.01	87.39	109.81	74.52	18.08
