ensembl_gene_id	tpm_Tert_1	tpm_Tert_2	tpm_Tert_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000001880	10.64	8.56	9.57	7.12	6.8	7.32
ENSDARG00000001881	25.43	9.94	10.71	8.97	13.71	9.55
ENSDARG00000001882	0.38	0.25	1.33	0.73	0.34	0.52
ENSDARG00000001888	20.51	24.29	21.18	21.16	31.76	11.9
ENSDARG00000001889	1395.65	1589.42	1708.35	1467.26	1924.32	1323.66
ENSDARG00000001890	59.56	63.68	57.76	53.74	55.93	38.55
ENSDARG00000001891	15.82	5.21	8.31	7.39	11.85	21.92
ENSDARG00000001897	24.59	27.56	24.38	19.21	23.43	29.8
ENSDARG00000001898	14.49	20.65	14.52	17.79	14.36	13.53
ENSDARG00000001906	0.21	4.71	1.87	2.86	6.46	0.3
ENSDARG00000001909	0.58	2.45	2.56	0.05	0.1	0
ENSDARG00000001910	45.85	44.2	43.26	45.2	75.31	62.09
ENSDARG00000001912	0.62	14.58	4.33	9.19	8.4	1.09
ENSDARG00000001913	0.38	0.46	0.06	0.07	0.63	0.51
ENSDARG00000001929	55.67	35.21	30.92	43.48	51.78	32.36
ENSDARG00000001930	14.66	16.04	14.45	12.39	16.33	13.82
ENSDARG00000001933	1.5	2.18	4.5	1.44	2.36	0.56
ENSDARG00000001937	0	0.08	0	0	0	0
ENSDARG00000001939	40.23	29.58	24.09	33.88	34.22	28.51
ENSDARG00000001940	51.02	66.36	41.76	60.93	68.35	69.58
ENSDARG00000001950	390.55	292.73	355.35	575.78	311.77	500.93
ENSDARG00000001953	65.41	68.24	33.26	45.97	29.72	29.86
ENSDARG00000001968	2.34	1.92	9.82	0.69	0.97	0
ENSDARG00000001969	6.11	9.47	7.01	7.13	10.44	6.33
ENSDARG00000001971	3	7.37	2.24	4.4	28.65	2.98
ENSDARG00000001975	18.73	29.45	16.97	13.9	7.06	10.55
ENSDARG00000001976	1.06	1.26	1.82	0.73	0.31	1.04
ENSDARG00000001993	0.32	15.51	0.32	3.89	0.16	0.65
ENSDARG00000001994	1209.92	735.26	776.25	1025.4	1348.24	911.31
ENSDARG00000001999	3.35	1.88	1.33	3.65	1.28	1.6
ENSDARG00000002002	5.92	12.24	8.54	7.26	10.43	5.67
ENSDARG00000002006	47.69	38.79	46.68	38.2	46.51	39.61
ENSDARG00000002013	7.27	10.29	6.06	5	3.92	2.25
ENSDARG00000002016	20.68	21.64	17.95	21.82	18.58	22.22
ENSDARG00000002020	18.57	14.28	14.4	15.21	18.73	18.62
ENSDARG00000002021	20.94	24.41	39.26	20.02	22.71	8.34
ENSDARG00000002026	41.79	20.27	27.9	14.67	20.73	8
ENSDARG00000002037	64.36	38.68	21.82	52.97	49.88	75.7
ENSDARG00000002060	3.99	6.98	4.76	4.34	6.77	5.71
ENSDARG00000002071	22.81	18.26	26.07	20.41	23.92	8.85
ENSDARG00000002077	13.91	17.49	19.38	19.98	18.77	17.65
ENSDARG00000002082	169.89	194.43	162.01	224.01	210.02	217.17
ENSDARG00000002084	0.73	5.75	1.68	1.81	2.33	0.84
ENSDARG00000002127	68.84	70.37	55.81	81.01	92.69	82.86
ENSDARG00000002128	14.28	13.61	13.44	13.29	17.06	19.96
ENSDARG00000002131	99.78	94.52	81.36	133.17	150.16	86.57
ENSDARG00000002165	55.56	87.62	133.19	27.73	42.17	36
ENSDARG00000002167	58.49	80.14	38.55	109.81	74.52	18.08
ENSDARG00000002168	61.69	61.48	55.04	68.53	83.85	111.13
ENSDARG00000002172	47.64	51.98	40.86	80.72	60.87	27.67
ENSDARG00000002174	13.46	14.88	10.62	16.79	15.18	13.46
ENSDARG00000002184	29.92	39.15	28.13	39.4	39.64	31.35
ENSDARG00000002190	46.39	46.86	88.07	65.42	76.69	37.17
ENSDARG00000002192	0.39	1.57	1.62	0	1.42	0.16
ENSDARG00000002193	3.15	131.87	24.71	3.18	0.75	230.98
ENSDARG00000002194	9.03	2.19	5.58	5.3	5.15	13.79
ENSDARG00000002196	5.07	4.9	5.58	1.89	1.37	2.38
ENSDARG00000002197	2.04	1.3	1.07	1.54	1.45	0.94
ENSDARG00000002204	0.34	1.32	1.84	0.59	0	0.17
ENSDARG00000002210	58.67	48.11	52.55	52.95	55.46	36.51
ENSDARG00000002213	2.91	4.82	5.84	2.53	4.44	1.51
ENSDARG00000002215	23.31	32.64	20.53	23.81	23.82	18.72
ENSDARG00000002216	4.72	65.62	12.8	41.61	6.68	3.73
ENSDARG00000002217	158.91	148.13	119.84	225.6	205.69	206.3
ENSDARG00000002219	1.26	1.29	0.97	1.53	2	0.87
ENSDARG00000002230	373.15	206.67	191.57	314.27	334.58	409.15
